Month," Religious
الأغراض الدينية"," Business
الأعمال"," Leisure*
الترفيه*"," Other
 أخرى"," Visiting Friends& Relatives
زيارة الأصدقاء أو الأقارب"," Total
الإجمالي",Tourism Type," Other
أخرى"
January,"1,035",150,523,164,609,"2,482",Inbound,
February,"1,105",144,514,157,536,"2,456",Inbound,
March,"1,378",165,533,146,648,"2,870",Inbound,
April,"1,005",147,549,122,601,"2,424",Inbound,
May,348,166,386,101,513,"1,514",Inbound,
June,"1,715",129,424,101,479,"2,847",Inbound,
July,185,132,453,124,457,"1,350",Inbound,
August,749,146,580,127,507,"2,109",Inbound,
September,861,147,469,115,448,"2,040",Inbound,
October,981,169,513,126,402,"2,191",Inbound,
November,991,175,508,136,427,"2,238",Inbound,
December,"1,115",194,794,226,574,"2,903",Inbound,
 Total,"11,466","1,865","6,246","1,645","6,201","27,424",Inbound,
January,658,537,"3,086",,"1,739","6,294",Domestic,274
February,636,546,"2,619",,"1,589","5,608",Domestic,218
March,996,633,"2,605",,"1,957","6,502",Domestic,311
April,"1,133",613,"2,523",,"2,354","6,881",Domestic,259
May,526,536,"2,246",,"1,396","5,003",Domestic,300
June,"1,235",786,"3,887",,"3,252","9,548",Domestic,389
July,753,729,"3,689",,"2,431","8,118",Domestic,517
August,837,800,"2,836",,"2,174","6,986",Domestic,339
September,690,667,"2,473",,"1,902","6,074",Domestic,342
October,707,835,"2,417",,"1,954","6,202",Domestic,289
November,997,793,"3,585",,"2,537","8,220",Domestic,308
December,758,720,"3,046",,"1,749","6,484",Domestic,211
,"9,925","8,195","35,010",,"25,033","81,920",Domestic,"3,757"
